2024-10-18 13:39:02.387 MSK [13088] СООБЩЕНИЕ:  система БД была выключена: 2024-10-18 13:38:54 MSK
2024-10-18 13:44:02.391 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 13:44:04.059 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 18 (0.1%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.648 сек., синхр.=0.010 сек., всего=1.674 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=45 kB, ожидалось=45 kB; lsn=0/1574498, lsn redo=0/1574440
2024-10-18 14:19:02.105 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 14:19:07.731 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 52 (0.3%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=5.587 сек., синхр.=0.033 сек., всего=5.626 сек.; синхронизировано_файлов=45, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=163 kB, ожидалось=163 kB; lsn=0/159D378, lsn redo=0/159D2E8
2024-10-18 14:29:02.744 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 14:29:03.189 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.438 сек., синхр.=0.004 сек., всего=0.446 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=147 kB; lsn=0/159D670, lsn redo=0/159D618
2024-10-18 14:39:02.216 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 14:39:02.329 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.002 сек., всего=0.114 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=132 kB; lsn=0/159D7D8, lsn redo=0/159D780
2024-10-18 14:44:02.330 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 14:44:02.670 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.330 сек., синхр.=0.005 сек., всего=0.340 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=1 kB, ожидалось=119 kB; lsn=0/159DBD8, lsn redo=0/159DB80
2024-10-18 14:49:02.671 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: time
2024-10-18 14:49:02.783 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 2 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.107 сек., синхр.=0.002 сек., всего=0.112 сек.; синхронизировано_файлов=2, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=0 kB, ожидалось=107 kB; lsn=0/159DD40, lsn redo=0/159DCE8
2024-10-18 19:39:22.450 MSK [984] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-18 19:39:22.450 MSK [6688] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-18 19:39:22.673 MSK [11616] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-18 19:39:22.693 MSK [8736] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-10-18 19:40:56.699 MSK [14764] ОШИБКА:  выполнение оператора отменено по запросу пользователя
2024-10-18 19:40:56.705 MSK [12416] СООБЩЕНИЕ:  выключение
2024-10-18 19:40:56.706 MSK [12416] СООБЩЕНИЕ:  начата контрольная точка: shutdown immediate
2024-10-18 19:40:56.712 MSK [12416] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.001 сек., синхр.=0.001 сек., всего=0.007 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 kB, ожидалось=96 kB; lsn=0/159DDF0, lsn redo=0/159DDF0
